time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-11T07:41:55.820Z,40.4021683,-121.4918365,5.01,2.56,md,13,112,0.05276,0.1,nc,nc72339535,2014-11-11T12:22:03.883Z,"24km WNW of Chester, California",earthquake
2014-11-11T07:41:48.450Z,7.8249,94.5708,29.67,4.7,mb,,77,3.496,0.95,us,usc000sw7h,2014-11-11T08:27:10.000Z,"139km E of Mohean, India",earthquake
2014-11-11T07:18:45.160Z,36.1396667,-118.0601667,1.1,1.26,ml,19,80,0.1677,0.27,ci,ci37287056,2014-11-11T07:22:45.460Z,"51km S of Lone Pine, California",earthquake
2014-11-11T07:11:33.580Z,40.394001,-121.501503,3.47,1.79,md,7,97,0.05991,0.03,nc,nc72339500,2014-11-11T11:23:03.954Z,"24km WNW of Chester, California",earthquake
2014-11-11T06:54:51.000Z,63.0559,-149.4439,19.3,1.2,ml,,,,0.29,ak,ak11438624,2014-11-11T07:57:06.730Z,"44km SSW of Cantwell, Alaska",earthquake
2014-11-11T06:47:21.000Z,61.6974,-151.0674,54.1,1.6,ml,,,,0.6,ak,ak11438622,2014-11-11T07:57:06.083Z,"54km W of Willow, Alaska",earthquake
2014-11-11T06:45:12.950Z,40.4070015,-121.4788361,7.44,2.32,md,14,130,0.04379,0.12,nc,nc72339475,2014-11-11T10:24:05.355Z,"23km WNW of Chester, California",earthquake
2014-11-11T06:40:36.820Z,40.4008331,-121.4970016,3.45,2.75,md,14,92,0.05657,0.1,nc,nc72339470,2014-11-11T09:55:04.724Z,"24km WNW of Chester, California",earthquake
2014-11-11T06:20:53.380Z,36.810833,-121.4384995,10.63,1.02,md,9,170,0.04723,0.11,nc,nc72339460,2014-11-11T06:43:03.075Z,"5km SW of Hollister, California",earthquake
2014-11-11T06:13:33.730Z,32.8751667,-116.2061667,11.13,1.09,ml,16,85,0.05609,0.24,ci,ci37287040,2014-11-11T06:18:01.860Z,"30km ENE of Pine Valley, California",earthquake
2014-11-11T06:01:15.000Z,62.1326,-150.9234,59.1,1.6,ml,,,,0.26,ak,ak11438618,2014-11-11T06:55:07.636Z,"47km WSW of Talkeetna, Alaska",earthquake
2014-11-11T05:42:22.000Z,61.7926,-141.2776,10.3,1.5,ml,,,,0.28,ak,ak11438616,2014-11-11T06:55:08.905Z,"170km ENE of Chitina, Alaska",earthquake
2014-11-11T05:30:41.900Z,19.4093,-155.2918,4.6,2,ml,,93.5999925120006,0.008983153,0.12,hv,hv60800516,2014-11-11T05:36:26.000Z,"6km WSW of Volcano, Hawaii",earthquake
2014-11-11T05:16:58.000Z,59.8389,-152.6053,89.8,3,ml,,,,0.58,ak,ak11438607,2014-11-11T06:55:33.082Z,"43km W of Anchor Point, Alaska",earthquake
2014-11-11T05:04:44.040Z,7.8339,94.5965,10,5,mb,,80,3.486,1.45,us,usc000sw6s,2014-11-11T05:30:30.000Z,"141km E of Mohean, India",earthquake
2014-11-11T04:59:08.000Z,63.2178,-149.4277,79.8,1.2,ml,,,,0.64,ak,ak11438605,2014-11-11T05:49:51.964Z,"30km SW of Cantwell, Alaska",earthquake
2014-11-11T04:46:20.630Z,36.0896683,-120.6709976,6.51,1.14,md,11,197,0.06408,0.08,nc,nc72339435,2014-11-11T07:33:02.564Z,"28km W of Coalinga, California",earthquake
2014-11-11T04:43:08.000Z,61.2907,-150.3409,38.6,1.7,ml,,,,0.55,ak,ak11438603,2014-11-11T05:49:53.192Z,"24km WNW of Anchorage, Alaska",earthquake
2014-11-11T04:05:03.000Z,62.5391,-151.548,100,1.8,ml,,,,,ak,ak11438599,2014-11-11T05:49:52.581Z,"78km WNW of Talkeetna, Alaska",earthquake
2014-11-11T03:50:19.340Z,38.8176651,-122.8218307,2.93,1.13,md,21,45,0.01082,0.04,nc,nc72339425,2014-11-11T04:40:03.021Z,"7km NW of The Geysers, California",earthquake
2014-11-11T03:39:53.150Z,64.678,-17.7023,5.24,4.5,mb,,138,1.558,0.72,us,usc000sw6j,2014-11-11T11:42:27.499Z,"113km S of Akureyri, Iceland",earthquake
2014-11-11T03:26:43.890Z,35.6451683,-120.9375,4.93,2.33,md,55,63,0.05587,0.06,nc,nc72339410,2014-11-11T08:25:04.714Z,"10km SSW of Lake Nacimiento, California",earthquake
2014-11-11T03:20:49.990Z,-4.8931,29.5096,15.1,4.8,mb,,123,4.435,1.13,us,usc000sw6h,2014-11-11T10:21:15.914Z,"13km W of Kigoma, Tanzania",earthquake
2014-11-11T03:06:08.610Z,38.8293343,-122.8538361,2.4,1.04,md,22,43,0.00297,0.05,nc,nc72339390,2014-11-11T03:07:43.550Z,"10km NW of The Geysers, California",earthquake
2014-11-11T03:05:20.000Z,60.3019,-140.3019,13.7,1.5,ml,,,,0.77,ak,ak11438588,2014-11-11T04:35:38.626Z,"90km NNW of Yakutat, Alaska",earthquake
2014-11-11T02:59:43.790Z,37.0373344,-121.1971664,8,1.7,md,24,84,0.02308,0.04,nc,nc72339385,2014-11-11T04:29:05.168Z,"27km NE of Hollister, California",earthquake
2014-11-11T02:52:48.000Z,63.2267,-149.33,78.4,2,ml,,,,0.59,ak,ak11438584,2014-11-11T04:35:34.527Z,"26km SW of Cantwell, Alaska",earthquake
2014-11-11T02:50:50.560Z,33.898,-117.0253333,14.81,1.56,ml,65,32,0.04393,0.22,ci,ci37286984,2014-11-11T03:01:31.020Z,"5km SW of Beaumont, California",earthquake
2014-11-11T02:46:48.640Z,36.7953339,-121.2146683,0.72,1.14,md,5,216,0.07073,0.06,nc,nc72339370,2014-11-11T04:12:02.909Z,"13km E of Ridgemark, California",earthquake
2014-11-11T02:27:17.810Z,33.3931667,-116.3885,9.49,1.01,ml,30,140,0.1269,0.3,ci,ci37286976,2014-11-11T02:31:41.220Z,"15km N of Borrego Springs, California",earthquake
2014-11-11T02:24:19.000Z,62.9607,-150.0276,34.7,1.3,ml,,,,0.38,ak,ak11438580,2014-11-11T03:26:49.628Z,"71km N of Talkeetna, Alaska",earthquake
2014-11-11T02:14:39.000Z,63.19,-149.002,66,1,ml,,,,0.64,ak,ak11438577,2014-11-11T03:26:50.901Z,"22km S of Cantwell, Alaska",earthquake
2014-11-11T02:14:38.880Z,34.0226667,-117.2428333,17.02,1.31,ml,44,59,0.08536,0.34,ci,ci37286960,2014-11-11T02:19:44.320Z,"3km SSE of Loma Linda, California",earthquake
2014-11-11T01:49:52.820Z,64.4853,-17.5595,5,4.6,mb,,166,1.644,0.67,us,usc000sw62,2014-11-11T09:52:19.716Z,"116km WNW of Hofn, Iceland",earthquake
2014-11-11T01:30:17.000Z,66.461,-142.6026,34.4,3.2,ml,,,,0.79,ak,ak11438567,2014-11-11T09:32:58.846Z,"96km NE of Circle, ",earthquake
2014-11-11T01:12:20.961Z,41.838,-119.6322,3.4029,2.61,ml,4,146.01,0.504,0.2287,nn,nn00467171,2014-11-11T09:14:47.424Z,"70km ESE of Lakeview, Oregon",earthquake
2014-11-11T01:11:30.000Z,60.1548,-141.1108,15,1.5,ml,,,,0.36,ak,ak11438563,2014-11-11T02:04:13.312Z,"74km E of Cape Yakataga, Alaska",earthquake
2014-11-11T01:03:28.520Z,34.0203333,-117.2441667,16.01,1.19,ml,29,57,0.08313,0.22,ci,ci37286952,2014-11-11T01:14:14.540Z,"3km SSE of Loma Linda, California",earthquake
2014-11-11T00:48:53.660Z,33.3166667,-116.1713333,12.46,1.51,ml,36,36,0.1417,0.32,ci,ci37286944,2014-11-11T01:00:04.440Z,"15km SW of Desert Shores, California",earthquake
2014-11-11T00:24:18.770Z,37.6343346,-118.8806686,8.51,1.42,md,16,93,0.0163,0.02,nc,nc72339310,2014-11-11T03:06:09.412Z,"8km E of Mammoth Lakes, California",earthquake
2014-11-11T00:24:09.000Z,62.3864,-149.0914,47.8,1.3,ml,,,,0.3,ak,ak11438560,2014-11-11T02:04:14.637Z,"46km ENE of Y, Alaska",earthquake
2014-11-11T00:15:31.640Z,38.9451675,-122.7695007,5.21,1.6,md,9,157,0.07427,0.04,nc,nc72339295,2014-11-11T02:40:05.351Z,"6km SSE of Soda Bay, California",earthquake
2014-11-11T00:10:03.000Z,65.0317,-147.3191,16.8,1.8,ml,,,,0.22,ak,ak11438557,2014-11-11T02:04:14.007Z,"27km NNE of Badger, Alaska",earthquake
2014-11-11T00:05:19.000Z,-4.1339,134.2462,39.36,4.5,mb,,178,2.33,0.83,us,usc000sw5n,2014-11-11T08:07:52.986Z,"161km WSW of Nabire, Indonesia",earthquake
2014-11-10T23:58:39.810Z,34.5596667,-116.2528333,1.36,1.35,ml,14,87,0.1487,0.21,ci,ci37286920,2014-11-11T00:02:40.150Z,"47km N of Joshua Tree, California",earthquake
2014-11-10T23:49:52.180Z,-58.7936,-25.4906,48.18,5.2,mb,,69,7.571,0.96,us,usc000sw5m,2014-11-11T07:52:33.677Z,"64km ENE of Bristol Island, South Sandwich Islands",earthquake
2014-11-10T23:40:45.410Z,40.4754982,-124.7590027,15.34,2.07,md,11,282,0.4355,0.04,nc,nc72339275,2014-11-11T02:11:03.500Z,"43km WSW of Ferndale, California",earthquake
2014-11-10T23:02:42.170Z,34.295,-116.8826667,13.08,1,ml,18,159,0.04537,0.24,ci,ci37286904,2014-11-10T23:06:59.920Z,"5km NW of Big Bear City, California",earthquake
2014-11-10T22:40:02.920Z,64.6938,-17.763,8.26,4.9,mb,,102,1.531,1.47,us,usc000sw5b,2014-11-11T06:42:41.967Z,"111km S of Akureyri, Iceland",earthquake
2014-11-10T22:30:24.755Z,41.9211,-119.631,0,3.17,ml,4,120.08,0.501,0.1069,nn,nn00467153,2014-11-11T06:32:57.738Z,"66km ESE of Lakeview, Oregon",earthquake
2014-11-10T22:26:19.000Z,19.3953,-155.2882,4.8,1.8,ml,,82.7999933760005,0.008983153,0.26,hv,hv60800341,2014-11-10T22:32:07.000Z,"6km SW of Volcano, Hawaii",earthquake
2014-11-10T22:22:53.000Z,61.2184,-146.9974,0,2.4,ml,,,,0.81,ak,ak11438420,2014-11-10T23:37:14.869Z,"36km WNW of Valdez, Alaska",earthquake
2014-11-10T22:09:15.580Z,33.6708333,-116.7768333,16.23,1.03,ml,20,53,0.1236,0.31,ci,ci37286896,2014-11-10T22:18:09.070Z,"9km SSW of Idyllwild-Pine Cove, California",earthquake
2014-11-10T22:02:45.250Z,33.6593333,-116.7778333,16.3,1.47,ml,36,39,0.1013,0.26,ci,ci37286888,2014-11-10T22:16:49.570Z,"10km SSW of Idyllwild-Pine Cove, California",earthquake
2014-11-10T22:02:17.120Z,33.6596667,-116.7755,14.14,1.14,ml,24,40,0.1,0.34,ci,ci37286880,2014-11-10T22:15:46.440Z,"10km SSW of Idyllwild-Pine Cove, California",earthquake
2014-11-10T21:57:33.673Z,39.1176,-115.9706,0,2.75,ml,9,80.9,0.826,0.3961,nn,nn00467148,2014-11-11T06:00:02.525Z,"43km S of Eureka, Nevada",earthquake
2014-11-10T21:47:18.680Z,7.2409,94.6391,73.65,4.4,mb,,116,3.043,1.16,us,usc000sw4i,2014-11-11T05:50:01.376Z,"166km ESE of Mohean, India",earthquake
2014-11-10T21:44:57.000Z,61.2054,-146.9708,15,3.3,ml,,,,0.61,ak,ak11438326,2014-11-10T23:37:39.958Z,"34km WNW of Valdez, Alaska",earthquake
2014-11-10T21:40:05.440Z,35.8673,-115.4525,17.63,1.68,ml,12,322.93,1.071,,nn,nn00467143,2014-11-10T21:42:32.262Z,"17km ENE of Sandy Valley, Nevada",earthquake
2014-11-10T21:38:00.220Z,-30.0726,-177.7235,27.81,5.6,mwb,,48,0.843,1.52,us,usc000sw4e,2014-11-11T05:40:34.950Z,"90km S of Raoul Island, New Zealand",earthquake
2014-11-10T21:30:07.150Z,40.794,-118.7712,22.78,1.8,ml,7,241.93,0.867,,nn,nn00467139,2014-11-10T21:32:18.804Z,"56km ENE of Gerlach-Empire, Nevada",earthquake
2014-11-10T21:22:09.000Z,61.1905,-146.9895,14.9,2.9,ml,,,,0.73,ak,ak11438290,2014-11-11T05:24:48.520Z,"35km W of Valdez, Alaska",earthquake
2014-11-10T21:12:25.500Z,19.3288,-155.1773,3.1,2.2,md,,89.9999928000006,0.05389892,0.25,hv,hv60800296,2014-11-10T21:15:56.000Z,"12km SSE of Volcano, Hawaii",earthquake
2014-11-10T21:10:23.700Z,43.654,-121.39,0,2.1,Ml,,201.6,0.02694946,0.3,uw,uw60921896,2014-11-10T22:09:19.367Z,"9km E of La Pine, Oregon",quarry
2014-11-10T20:55:46.000Z,60.0749,-150.4844,25.1,1.9,ml,,,,0.61,ak,ak11438223,2014-11-10T22:37:24.916Z,"53km SSE of Sterling, Alaska",earthquake
2014-11-10T20:53:32.840Z,36.2048,-114.4478,0.32,1.59,ml,8,238.99,0.91,,nn,nn00467134,2014-11-10T20:56:03.807Z,"39km S of Old Overton (historical), Nevada",earthquake
2014-11-10T20:46:10.020Z,34.0118333,-117.3791667,5.64,1.23,ml,19,107,0.01854,0.43,ci,ci37286856,2014-11-10T20:50:55.540Z,"2km NE of Rubidoux, California",earthquake
2014-11-10T20:41:20.000Z,61.5526,-140.6779,0.1,2.4,ml,,,,0.64,ak,ak11438220,2014-11-10T22:37:24.336Z,"191km NNE of Cape Yakataga, Alaska",earthquake
2014-11-10T20:37:24.300Z,47.7002,-121.4747,7.7,1.8,Md,,72,0.22457882,0.14,uw,uw60921841,2014-11-10T21:03:47.285Z,"24km SE of Gold Bar, Washington",earthquake
2014-11-10T20:26:37.149Z,41.9078,-119.5962,0,2.66,ml,4,240.39,0.526,0.1526,nn,nn00467162,2014-11-11T04:29:21.117Z,"69km ESE of Lakeview, Oregon",earthquake
2014-11-10T20:25:32.000Z,61.4847,-140.5593,2,1.7,ml,,,,0.92,ak,ak11438196,2014-11-10T22:37:26.289Z,"183km WNW of Haines Junction, Canada",earthquake
2014-11-10T20:15:41.530Z,37.5443344,-118.6561661,2.5,1.41,md,5,201,0.09084,0.01,nc,nc72339185,2014-11-10T23:59:04.996Z,"27km NW of Dixon Lane-Meadow Creek, California",earthquake
2014-11-10T20:10:04.250Z,37.3688316,-118.4605026,14.34,2.39,md,36,106,0.06541,0.05,nc,nc72339180,2014-11-10T23:34:05.140Z,"1km NW of West Bishop, California",earthquake
2014-11-10T19:47:20.000Z,62.9569,-149.2841,58,1.2,ml,,,,0.61,ak,ak11438128,2014-11-10T21:14:01.422Z,"51km SSW of Cantwell, Alaska",earthquake
2014-11-10T19:36:26.300Z,19.5037,-155.7065,11.1,1.8,md,,154.799987616001,0,0.16,hv,hv60800261,2014-11-10T19:39:33.000Z,"17km ENE of Honaunau-Napoopoo, Hawaii",earthquake
